Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,Mineral,f_mineral_me,Delta_g_Mineral,Mineral_Fraction,CF_Mineral,xi_Mineral,xf_Mineral
"Lead, Pb 3.6E-1%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '4df0eac4-44bb-46b6-b588-e3513a1ead2f')",Pb,1.6422962717168985e-13,1.6422962717168985e-13,0.0036,4.267891694899601e-16,4.267891694899601e-16,Galena,1.1560975609756097,1.8986547141312435e-13,0.0041619512195121946,4.934099178981489e-16,0.017732067510548524,0.01773206751035866
"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '8508a83c-6a37-4159-93cc-21a2645390ab')",Cu,1.246756148585651e-13,1.9981053798355727e-14,0.00052,6.402465333342046e-18,3.9949409580727685e-17,Chalcopyrite,2.8793103448275863,5.753165490216218e-14,0.0014972413793103447,1.8434684666691753e-17,0.00201437125748503,0.002014371257427498
"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '8508a83c-6a37-4159-93cc-21a2645390ab')",Ni,1.246756148585651e-13,1.0469456106020937e-13,0.00037,3.354694424738564e-17,3.9949409580727685e-17,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,3.0719508452536217e-13,0.001085655072463768,9.843354104819849e-17,0.00509049773755656,0.005090497737249365
"Copper, Cu 6.8E-1%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '4f684798-3870-45a1-b5f2-aa3444c0b8d6')",Cu,4.349355642425611e-14,4.349355642425611e-14,0.0068000000000000005,8.372454666678061e-17,8.372454666678061e-17,Chalcopyrite,2.8793103448275863,1.2523144694570295e-13,0.01957931034482759,2.4106895333366143e-16,0.00201437125748503,0.0020143712573597984
"Cobalt, Co 5.0E-2%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '02e8658e-3c88-404c-865d-4d4934661ea6')",Co,3.71460741719923e-14,3.71460741719923e-14,0.0005,9.723747574226973e-16,9.723747574226973e-16,Linnaeite,1.727272727272727,6.416140084253215e-14,0.0008636363636363635,1.6795563991846589e-15,0.000636842105263158,0.0006368421051989966
"Feldspar, in ground","('ecoinvent-3.4-biosphere', '26296ec9-ff93-41e6-bbbf-6175af04284d')",Al,2.992076209939617e-14,2.992076209939617e-14,0.09694247835303417,6.226166227108002e-15,6.226166227108002e-15,Bauxite (Gibbsite),2.8930041152263373,8.656088788426135e-14,0.28045498881556796,1.8012324517106687e-14,0.08399573257467995,0.08399573257459339
"Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '535bbc83-033b-42fe-9a68-8dc9eb420385')",Ni,2.5425008269716745e-14,2.1384672996153578e-14,0.023,2.0853505883509992e-15,2.479348455018202e-15,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,6.274696948987324e-14,0.06748666666666667,6.1188417408339604e-15,0.00509049773755656,0.005090497737493814
"Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '535bbc83-033b-42fe-9a68-8dc9eb420385')",Cu,2.5425008269716745e-14,4.040335273563169e-15,0.032,3.939978666672029e-16,2.479348455018202e-15,Chalcopyrite,2.8793103448275863,1.163337914974223e-14,0.09213793103448277,1.1344421333348773e-15,0.00201437125748503,0.0020143712574733964
"Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')",Ni,8.71535416005199e-15,7.330381047716957e-15,0.023,2.0853505883509992e-15,2.479348455018202e-15,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,2.1508825317692394e-14,0.06748666666666667,6.1188417408339604e-15,0.00509049773755656,0.0050904977375350515
"Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')",Cu,8.71535416005199e-15,1.3849731123350335e-15,0.032,3.939978666672029e-16,2.479348455018202e-15,Chalcopyrite,2.8793103448275863,3.9877674096543205e-15,0.09213793103448277,1.1344421333348773e-15,0.00201437125748503,0.002014371257481042
"Copper, Cu 0.2%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '704399e3-cf6b-483d-84f5-466e91a9d17c')",Cu,5.2644592865561264e-15,5.2644592865561264e-15,0.002,2.462486666670018e-17,2.462486666670018e-17,Chalcopyrite,2.8793103448275863,1.515801208370471e-14,0.005758620689655173,7.090263333342983e-17,0.00201437125748503,0.002014371257469872
"Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground","('ecoinvent-3.4-biosphere', 'c15f6c4d-bf7a-4a7c-91c6-53aad6a630a8')",Ag,4.2775719136239815e-15,4.2775719136239815e-15,4e-05,6.280784264150202e-18,6.280784264150202e-18,Argentite,1.1478494623655913,4.910008621283441e-15,4.591397849462366e-05,7.209394840839074e-18,3.240843091334895e-06,3.2408430864248863e-06
"Silver, Ag 9.7E-4%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'cfaa80f4-8e19-4fd6-942a-eaea14812896')",Ag,1.725041696163023e-15,1.725041696163023e-15,9.7e-06,1.5230901840564239e-18,1.5230901840564239e-18,Argentite,1.1478494623655913,1.9800881834989536e-15,1.1134139784946236e-05,1.7482782489034756e-18,3.240843091334895e-06,3.2408430893548067e-06
"Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '636a8446-9899-43a6-b4bf-213f25d69c88')",Ni,8.163542037900848e-16,6.855217448289012e-16,0.00037,3.354694424738564e-17,3.9949409580727685e-17,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,2.011459890696512e-15,0.001085655072463768,9.843354104819849e-17,0.00509049773755656,0.005090497737554549
"Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '636a8446-9899-43a6-b4bf-213f25d69c88')",Cu,8.163542037900848e-16,1.3083245896118349e-16,0.00052,6.402465333342046e-18,3.9949409580727685e-17,Chalcopyrite,2.8793103448275863,3.767072525261663e-16,0.0014972413793103447,1.8434684666691753e-17,0.00201437125748503,0.002014371257484653
"Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '7005a356-23d8-4d38-9dbc-fa75401b400e')",Ni,6.959743447456764e-16,5.853757693296655e-16,0.023,2.0853505883509992e-15,2.479348455018202e-15,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.7176112791084648e-15,0.06748666666666667,6.1188417408339604e-15,0.00509049773755656,0.005090497737554843
"Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '7005a356-23d8-4d38-9dbc-fa75401b400e')",Cu,6.959743447456764e-16,1.1059857541601097e-16,0.032,3.939978666672029e-16,2.479348455018202e-15,Chalcopyrite,2.8793103448275863,3.184476223185144e-16,0.09213793103448277,1.1344421333348773e-15,0.00201437125748503,0.0020143712574847115
"Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore, in ground","('ecoinvent-3.4-biosphere', 'd76320f7-6761-4864-92a6-660fa3453ffa')",Ag,5.385803247829681e-16,5.385803247829681e-16,4.2e-05,6.594823477357711e-18,6.594823477357711e-18,Argentite,1.1478494623655913,6.182091362428154e-16,4.820967741935483e-05,7.569864582881028e-18,3.240843091334895e-06,3.2408430907166858e-06
"Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac')",Ni,3.4692342455308934e-16,2.913239745903297e-16,0.00037,3.354694424738564e-17,3.9949409580727685e-17,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,8.54803650660263e-16,0.001085655072463768,9.843354104819849e-17,0.00509049773755656,0.005090497737555705
"Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac')",Cu,3.4692342455308934e-16,5.559944996275963e-17,0.00052,6.402465333342046e-18,3.9949409580727685e-17,Chalcopyrite,2.8793103448275863,1.6008807144449758e-16,0.0014972413793103447,1.8434684666691753e-17,0.00201437125748503,0.00201437125748487
"Lithium, 0.15% in brine, in ground","('ecoinvent-3.4-biosphere', 'a9ad523f-b721-4f07-ad9f-584053f3454d')",Li,2.930630876428004e-16,2.930630876428004e-16,0.0015,2.27774017949366e-16,2.27774017949366e-16,Spodumene,26.800000000000004,7.854090748827052e-15,0.04020000000000001,6.10434368104301e-15,0.0011194029850746267,0.0011194029850667725
"Silver, Ag 5.4E-3%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'eaa3e9d4-68d6-4267-a7a5-48b141c3861e')",Ag,4.932447340045987e-17,4.932447340045987e-17,5.4000000000000005e-05,8.479058756602773e-18,8.479058756602773e-18,Argentite,1.1478494623655913,5.661707027418377e-17,6.198387096774193e-05,9.732683035132752e-18,3.240843091334895e-06,3.240843091278278e-06
"Rh, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', 'f7360584-688a-4b6f-bc4a-db00a1e7b022')",Ni,4.087191750472543e-17,3.432160705764788e-17,0.00037,3.354694424738564e-17,3.9949409580727685e-17,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.007065589114694e-16,0.001085655072463768,9.843354104819849e-17,0.00509049773755656,0.00509049773755646
"Rh, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', 'f7360584-688a-4b6f-bc4a-db00a1e7b022')",Cu,4.087191750472543e-17,6.550310447077549e-18,0.00052,6.402465333342046e-18,3.9949409580727685e-17,Chalcopyrite,2.8793103448275863,1.88603766321026e-17,0.0014972413793103447,1.8434684666691753e-17,0.00201437125748503,0.0020143712574850112
"Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground","('ecoinvent-3.4-biosphere', 'ff741136-d6ee-444a-a15b-3b308e376db8')",Ag,1.4378492344797058e-17,1.4378492344797058e-17,4.2e-05,6.594823477357711e-18,6.594823477357711e-18,Argentite,1.1478494623655913,1.6504344707603073e-17,4.820967741935483e-05,7.569864582881028e-18,3.240843091334895e-06,3.2408430913183905e-06
"Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore, in ground","('ecoinvent-3.4-biosphere', 'd02343bd-b00d-4fb3-9bda-2e8183f3b012')",Ag,2.707628246093295e-19,2.707628246093295e-19,2.1000000000000002e-06,3.2974117386788564e-19,3.2974117386788564e-19,Argentite,1.1478494623655913,3.1079496265640774e-19,2.410483870967742e-06,3.784932291440515e-19,3.240843091334895e-06,3.240843091334584e-06
"Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground","('ecoinvent-3.4-biosphere', '7cd1d217-70a7-4452-abc4-3b1100763d6d')",Ag,2.693011500716725e-19,2.693011500716725e-19,4.6e-07,7.222901903772732e-20,7.222901903772732e-20,Argentite,1.1478494623655913,3.0911718032420467e-19,5.280107526881719e-07,8.290804066964935e-20,3.240843091334895e-06,3.2408430913345857e-06
"Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground","('ecoinvent-3.4-biosphere', '2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979')",Ag,2.659094662265564e-19,2.659094662265564e-19,2.1000000000000002e-06,3.2974117386788564e-19,3.2974117386788564e-19,Argentite,1.1478494623655913,3.052240378460741e-19,2.410483870967742e-06,3.784932291440515e-19,3.240843091334895e-06,3.2408430913345895e-06
"Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore, in ground","('ecoinvent-3.4-biosphere', '6f70e7c7-ef61-4489-b4f3-157e7e8541ef')",Ag,9.618344257053672e-20,9.618344257053672e-20,4.6e-07,7.222901903772732e-20,7.222901903772732e-20,Argentite,1.1478494623655913,1.104041128430623e-19,5.280107526881719e-07,8.290804066964935e-20,3.240843091334895e-06,3.2408430913347844e-06
"Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore, in ground","('ecoinvent-3.4-biosphere', 'c7d38707-3b22-4fb1-b001-0c8cad496a60')",Ag,3.5974942587934345e-20,3.5974942587934345e-20,7.6e-07,1.1933490101885384e-19,1.1933490101885384e-19,Argentite,1.1478494623655913,4.129381850819345e-20,8.723655913978494e-07,1.3697850197594242e-19,3.240843091334895e-06,3.2408430913348534e-06
"Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore, in ground","('ecoinvent-3.4-biosphere', '781dda0c-ffeb-4664-9667-7506ce6269b9')",Ag,2.8186160041048593e-20,2.8186160041048593e-20,7.6e-07,1.1933490101885384e-19,1.1933490101885384e-19,Argentite,1.1478494623655913,3.235346864926814e-20,8.723655913978494e-07,1.3697850197594242e-19,3.240843091334895e-06,3.2408430913348627e-06
"Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore, in ground","('ecoinvent-3.4-biosphere', '4f5aad55-54d2-4628-a509-b28ef1929bb4')",Ag,1.9626589220927206e-20,1.9626589220927206e-20,1.4999999999999998e-06,2.3552940990563253e-19,2.3552940990563253e-19,Argentite,1.1478494623655913,2.2528369885311602e-20,1.7217741935483868e-06,2.7035230653146524e-19,3.240843091334895e-06,3.2408430913348725e-06
"Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore, in ground","('ecoinvent-3.4-biosphere', '14946240-b1ee-412c-b900-ed5728a4e684')",Ag,1.2234121925134962e-20,1.2234121925134962e-20,4.27e-06,6.70473720198034e-19,6.70473720198034e-19,Argentite,1.1478494623655913,1.4042930274281258e-20,4.901317204301075e-06,7.696028992595712e-19,3.240843091334895e-06,3.240843091334881e-06
"Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore, in ground","('ecoinvent-3.4-biosphere', 'ed8c57b5-6012-4f21-8b70-92a85923786a')",Ag,4.4051831828005885e-21,4.4051831828005885e-21,1.4999999999999998e-06,2.3552940990563253e-19,2.3552940990563253e-19,Argentite,1.1478494623655913,5.0564871479995996e-21,1.7217741935483868e-06,2.7035230653146524e-19,3.240843091334895e-06,3.24084309133489e-06
"Gold, Au 5.4E-4%, Ag 1.5E-5%, in ore, in ground","('ecoinvent-3.4-biosphere', 'd6c7644f-0d7c-4bb3-b8bb-686ebede951e')",Ag,1.4442915531736329e-21,1.4442915531736329e-21,1.5e-07,2.3552940990563256e-20,2.3552940990563256e-20,Argentite,1.1478494623655913,1.6578292828095192e-21,1.7217741935483868e-07,2.703523065314653e-20,3.240843091334895e-06,3.240843091334893e-06
"Silver, Ag 1.8E-6%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '45ed0c16-0e34-45f1-8bf9-3b1ce8489e73')",Ag,3.9434410442274883e-22,3.9434410442274883e-22,1.8e-08,2.8263529188675907e-21,2.8263529188675907e-21,Argentite,1.1478494623655913,4.5264766824869285e-22,2.066129032258064e-08,3.2442276783775835e-21,3.240843091334895e-06,3.2408430913348945e-06
"Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore, in ground","('ecoinvent-3.4-biosphere', 'adfff256-b19a-4083-9783-ffbc7a7cb437')",Ag,4.0323718894212127e-23,4.0323718894212127e-23,1.5e-07,2.3552940990563256e-20,2.3552940990563256e-20,Argentite,1.1478494623655913,4.628555905330262e-23,1.7217741935483868e-07,2.703523065314653e-20,3.240843091334895e-06,3.240843091334895e-06
